Year,kms Driven,Fuel Type,Suspension,Price,Car Model
2013,82097 kms , Petrol , Manual, 2.13 Lakh,Honda Brio V MT
2013,48500 kms , Petrol , Manual, 2.89 Lakh,Honda Brio VX
2013,75245 kms , Petrol , Manual, 2.25 Lakh,Honda Brio VX
2010,70000 kms , Petrol , Manual, 2.75 Lakh,Honda City 1.5 E MT
2005,59124 kms , Petrol , Manual, 1.51 Lakh,Honda City 1.5 GXI
2009,59000 kms , Petrol , Automatic, 2.50 Lakh,Honda City 1.5 S AT
2009,70200 kms , Petrol , Automatic, 2.95 Lakh,Honda City 1.5 S AT
2009,78766 kms , Petrol , Automatic, 2.70 Lakh,Honda City 1.5 S AT
2011,78474 kms , Petrol , Manual, 2.40 Lakh,Honda City 1.5 S MT
2010,68418 kms , Petrol , Manual, 3.01 Lakh,Honda City 1.5 S MT
2009,67000 kms , Petrol , Manual, 4 Lakh,Honda City 1.5 S MT
2009,81521 kms , Petrol , Manual, 1.96 Lakh,Honda City 1.5 S MT
2010,73033 kms , Petrol , Manual, 3.99 Lakh,Honda City 1.5 S MT
2009,137319 kms , Petrol , Manual, 3 Lakh,Honda City 1.5 S MT
2010,72000 kms , Petrol , Manual, 2.80 Lakh,Honda City 1.5 S MT
2008,81543 kms , Petrol , Manual, 2.32 Lakh,Honda City 1.5 S MT
2009,83088 kms , Petrol , Manual, 1.96 Lakh,Honda City 1.5 S MT
2010,83013 kms , Petrol , Manual, 2.40 Lakh,Honda City 1.5 S MT
2010,93275 kms , Petrol , Manual, 3.50 Lakh,Honda City 1.5 S MT
2009,95980 kms , Petrol , Manual, 1.78 Lakh,Honda City 1.5 S MT
2009,44869 kms , Petrol , Manual, 2.50 Lakh,Honda City 1.5 S MT
2008,131990 kms , Petrol , Manual, 1.51 Lakh,Honda City 1.5 S MT
2011,52500 kms , Petrol , Manual, 4.09 Lakh,Honda City 1.5 S MT
2009,108406 kms , Petrol , Manual, 1.80 Lakh,Honda City 1.5 S MT
2010,76000 kms , Petrol , Manual, 2.60 Lakh,Honda City 1.5 S MT
2009,103913 kms , Petrol , Manual, 2.32 Lakh,Honda City 1.5 S MT
2009,73193 kms , Petrol , Manual, 1.96 Lakh,Honda City 1.5 S MT
2008,80000 kms , Petrol , Automatic, 2.50 Lakh,Honda City 1.5 V AT
2010,133878 kms , Petrol , Automatic, 2.77 Lakh,Honda City 1.5 V AT
2011,70000 kms , Petrol , Automatic, 3.75 Lakh,Honda City 1.5 V AT
2009,107124 kms , Petrol , Automatic, 1.75 Lakh,Honda City 1.5 V AT
2010,72464 kms , Petrol , Manual, 2.50 Lakh,Honda City 1.5 V MT
2010,64000 kms , Petrol , Manual, 3.35 Lakh,Honda City 1.5 V MT
2011,87487 kms , Petrol , Manual, 2.70 Lakh,Honda City 1.5 V MT
2011,53418 kms , Petrol , Manual, 3.12 Lakh,Honda City 1.5 V MT
2017,22500 kms , Petrol , Manual, 8.75 Lakh,Honda City 1.5 V MT Exclu
2018,50000 kms , Petrol , Automatic, 10.50 Lakh,Honda City Anniversary i-
2012,66000 kms , Petrol , Manual, 3.65 Lakh,Honda City E
2013,100085 kms , Petrol , Manual, 2.83 Lakh,Honda City E
2008,104184 kms , Petrol , Manual, 1.28 Lakh,Honda City EXi
2007,100000 kms , Petrol , Manual, 2 Lakh,Honda City GXi
2008,131474 kms , Petrol , Manual, 1.50 Lakh,Honda City GXi
2008,123000 kms , Petrol , Manual, 1.65 Lakh,Honda City GXi
2008,125051 kms , Petrol , Manual, 1.20 Lakh,Honda City GXi
2015,101466 kms , Diesel , Manual, 5.65 Lakh,Honda City i DTEC S
2014,112306 kms , Diesel , Manual, 5.20 Lakh,Honda City i DTEC S
2014,139841 kms , Diesel , Manual, 3.36 Lakh,Honda City i DTEC S
2014,119799 kms , Diesel , Manual, 3.67 Lakh,Honda City i DTEC S
2015,76670 kms , Diesel , Manual, 4.36 Lakh,Honda City i DTEC SV
2014,188878 kms , Diesel , Manual, 4.50 Lakh,Honda City i DTEC SV
2014,80000 kms , Diesel , Manual, 5.45 Lakh,Honda City i DTEC SV
2014,110697 kms , Diesel , Manual, 4.04 Lakh,Honda City i DTEC SV
2015,110586 kms , Diesel , Manual, 5.40 Lakh,Honda City i DTEC SV
2014,149237 kms , Diesel , Manual, 3 Lakh,Honda City i DTEC SV
2014,98243 kms , Diesel , Manual, 5.62 Lakh,Honda City i DTEC V
2014,70000 kms , Diesel , Manual, 4.35 Lakh,Honda City i DTEC V
2014,80000 kms , Diesel , Manual, 4.80 Lakh,Honda City i DTEC V
2015,140499 kms , Diesel , Manual, 5.30 Lakh,Honda City i DTEC V
2014,100000 kms , Diesel , Manual, 5.40 Lakh,Honda City i DTEC V
2014,135538 kms , Diesel , Manual, 3.50 Lakh,Honda City i DTEC V
2015,56597 kms , Diesel , Manual, 5.15 Lakh,Honda City i DTEC V
2014,97285 kms , Diesel , Manual, 3.94 Lakh,Honda City i DTEC V
2012,68434 kms , Petrol , Manual, 3.95 Lakh,Honda City i VTEC S
2017,31000 kms , Petrol , Manual, 6.93 Lakh,Honda City i VTEC S
2016,19434 kms , Petrol , Manual, 6 Lakh,Honda City i VTEC S
2015,105114 kms , Petrol , Manual, 5.68 Lakh,Honda City i VTEC V
2017,58011 kms , Petrol , Manual, 7.28 Lakh,Honda City i VTEC V
2015,92028 kms , Petrol , Manual, 5.78 Lakh,Honda City i VTEC V
2017,49568 kms , Petrol , Manual, 6.50 Lakh,Honda City i VTEC V
2017,89969 kms , Petrol , Manual, 7.55 Lakh,Honda City i VTEC V
2015,74481 kms , Petrol , Manual, 5.75 Lakh,Honda City i VTEC V
2016,22000 kms , Petrol , Manual, 8 Lakh,Honda City i VTEC V
2014,39529 kms , Petrol , Manual, 7 Lakh,Honda City i VTEC V
2015,77381 kms , Petrol , Manual, 6 Lakh,Honda City i VTEC V
2015,109450 kms , Petrol , Manual, 5 Lakh,Honda City i VTEC V
2014,96246 kms , Petrol , Manual, 5.91 Lakh,Honda City i VTEC V
2017,47000 kms , Petrol , Manual, 7.95 Lakh,Honda City i VTEC V
2015,56908 kms , Petrol , Manual, 7.12 Lakh,Honda City i VTEC V
2014,90535 kms , Petrol , Manual, 5.24 Lakh,Honda City i VTEC V
2016,58000 kms , Petrol , Manual, 6.25 Lakh,Honda City i VTEC V
2017,81904 kms , Petrol , Manual, 7.20 Lakh,Honda City i VTEC V
2016,38532 kms , Petrol , Manual, 8.42 Lakh,Honda City i VTEC V
2015,125308 kms , Petrol , Manual, 5 Lakh,Honda City i VTEC V
2017,38515 kms , Petrol , Manual, 7.10 Lakh,Honda City i VTEC V
2014,56000 kms , Petrol , Manual, 5.15 Lakh,Honda City i VTEC V
2017,70000 kms , Petrol , Manual, 7.50 Lakh,Honda City i VTEC V
2017,28000 kms , Petrol , Manual, 8 Lakh,Honda City i VTEC V
2016,32291 kms , Petrol , Manual, 7 Lakh,Honda City i VTEC V
